episode,steps,return,length,success,crash,wall_time
0,86,200.777,86,1,0,0.0
1,212,191.827,126,1,0,0.1
2,290,184.688,78,1,0,0.1
3,309,-85.466,19,0,1,0.1
4,521,180.749,212,1,0,0.2
5,577,198.084,56,1,0,0.2
6,580,-96.068,3,0,1,0.2
7,657,188.212,77,1,0,0.2
8,734,202.101,77,1,0,0.3
9,792,188.439,58,1,0,0.3
10,863,186.218,71,1,0,0.3
11,953,196.445,90,1,0,0.4
12,1203,38.133,250,0,0,0.5
13,1276,182.475,73,1,0,0.5
14,1365,201.294,89,1,0,0.5
15,1502,-40.091,137,0,1,0.6
16,1595,188.334,93,1,0,0.6
17,1667,184.798,72,1,0,0.6
18,1747,176.027,80,1,0,0.7
19,1797,194.86,50,1,0,0.7
20,1856,188.405,59,1,0,0.7
21,1884,-98.985,28,0,1,0.8
22,1980,199.101,96,1,0,0.8
23,2060,201.649,80,1,0,0.8
24,2135,205.82,75,1,0,0.8
25,2239,190.478,104,1,0,0.9
26,2339,198.108,100,1,0,0.9
27,2445,192.509,106,1,0,1.0
28,2462,-85.0,17,0,1,1.0
29,2517,180.236,55,1,0,1.0
30,2592,203.52,75,1,0,1.0
31,2677,192.668,85,1,0,1.0
32,2795,177.694,118,1,0,1.1
33,2880,193.695,85,1,0,1.1
34,2978,191.12,98,1,0,1.1
35,3049,192.605,71,1,0,1.2
36,3146,183.572,97,1,0,1.2
37,3229,195.832,83,1,0,1.2
38,3321,192.494,92,1,0,1.2
39,3470,-54.812,149,0,1,1.3
40,3570,189.198,100,1,0,1.3
41,3577,-95.426,7,0,1,1.3
42,3686,196.76,109,1,0,1.4
43,3760,192.664,74,1,0,1.4
44,3845,194.484,85,1,0,1.4
45,3921,201.073,76,1,0,1.4
46,4020,191.171,99,1,0,1.5
47,4148,-27.238,128,0,1,1.5
48,4251,188.376,103,1,0,1.6
49,4353,192.037,102,1,0,1.6
50,4431,193.495,78,1,0,1.6
51,4495,193.644,64,1,0,1.6
52,4584,187.931,89,1,0,1.7
53,4624,-91.129,40,0,1,1.7
54,4729,201.325,105,1,0,1.7
55,4797,193.71,68,1,0,1.7
56,4909,196.398,112,1,0,1.8
57,4985,191.636,76,1,0,1.8
58,4999,-84.878,14,0,1,1.8
59,5082,196.569,83,1,0,1.8
